description,estimated_price
Do you do Wheel Alignment for Harrier?,900
Headlight Bulb Change cost for Thar,850
Urgent Ceramic Coating required for Scorpio,16800
Cost to fix Oil Change (Mineral) on Ignis,1550
Price of Wheel Balancing in Celerio,500
Urgent Coolant Top-up required for Jaguar,1300
Estimate for AC Gas Refill on XUV700,4100
How much is Disc Turning for Brezza?,1200
Urgent Suspension Overhaul required for Celerio,8200
Harrier AC Gas Refill,3900
WagonR General Service,3400
Price of Headlight Bulb Change in Tata Tiago,600
Do you do Standard Checkup for Celerio?,800
How much is Wheel Balancing for Honda City?,700
Teflon Coating cost for Toyota Fortuner,9500
How much for Standard Checkup?,900
Price of Wiper Blades in Volvo,2200
Wiper Blades cost for Kwid,500
Price of Tyre Replacement (Per Tyre) in Land Rover,16250
Urgent Battery Replacement required for Toyota Fortuner,9700
Do you do Standard Checkup for Tata Tiago?,800
Cost to fix Bumper Paint on Venue,3350
My XUV700 needs Standard Checkup,1800
Cost to fix Deep Interior Cleaning on Jaguar,5150
How much for Wheel Alignment?,450
How much for Wheel Balancing?,600
My Eon needs Wheel Alignment,400
Urgent Wheel Balancing required for Audi,2200
Urgent Headlight Assembly Replacement required for Volvo,15900
Spark Plug Replacement cost for Brezza,550
How much for Suspension Overhaul?,9650
Full Car Wash cost for Ignis,450
How much for General Service?,4200
Do you do Headlight Assembly Replacement for XUV700?,8000
Urgent AC Gas Refill required for Nexon,2450
Teflon Coating cost for XUV700,9950
Do you do Suspension Overhaul for Creta?,10700
Cost to fix Oil Change (Mineral) on Toyota Fortuner,3400
Cost to fix Oil Change (Synthetic) on Thar,3850
I need a Wiper Blades for my Venue,750
Thar Bumper Paint,3600
How much is Wheel Balancing for Lexus?,2150
I need a Ceramic Coating for my Jaguar,51450
How much for Bumper Paint?,3150
How much for Ceramic Coating?,13850
Innova Crysta Spark Plug Replacement,900
Creta Spark Plug Replacement,550
How much for Battery Replacement?,5300
Price of General Service in XUV300,4750
Estimate for Headlight Assembly Replacement on Eon,3600
My Audi needs Full Car Wash,2100
Gearbox Repair cost for Porsche,54300
Urgent Ceramic Coating required for Harrier,26500
How much is Coolant Top-up for Innova Crysta?,650
Price of AC Service & Cleaning in Volvo,11050
Price of Teflon Coating in XUV700,9900
How much is AC Gas Refill for Volvo?,8300
Cost to fix Scratch Remover on Venue,1100
How much for Ceramic Coating?,14750
Do you do Bumper Paint for Scorpio?,3550
Door Dent Removal cost for Jaguar,6600
Wheel Balancing cost for Nexon,650
How much for Horn Repair?,450
How much is AC Gas Refill for Octavia?,3950
Do you do Gearbox Repair for Toyota Fortuner?,26850
How much for Bumper Paint?,2950
Cost to fix General Service on XUV700,7350
How much is Clutch Plate Replacement for Venue?,8150
Price of Full Body Paint in BMW,107700
I need a AC Service & Cleaning for my Innova Crysta,5400
How much for Headlight Assembly Replacement?,4350
How much for Scratch Remover?,950
My Verna needs Wiper Blades,700
How much for Wheel Alignment?,450
How much for Tyre Replacement (Per Tyre)?,4250
My Safari needs General Service,7900
Cost to fix Battery Replacement on Kia Seltos,6250
Estimate for Coolant Top-up on BMW,1300
Price of Wheel Balancing in Hyundai i10,500
Do you do Standard Checkup for Volvo?,3450
Urgent Spark Plug Replacement required for Hyundai i10,400
My Venue needs Suspension Overhaul,10650
Cost to fix Ceramic Coating on Audi,55750
Teflon Coating cost for Audi,21250
My Kwid needs Door Dent Removal,1450
Do you do Door Dent Removal for Scorpio?,2050
How much for Horn Repair?,500
How much is Door Dent Removal for Eon?,1550
I need a AC Service & Cleaning for my Volvo,11700
Urgent Door Dent Removal required for Lexus,6600
I need a Full Body Paint for my BMW,115650
I need a Oil Change (Mineral) for my Innova Crysta,3150
My WagonR needs Deep Interior Cleaning,1150
Estimate for General Service on Jeep Compass,8050
Cost to fix Wheel Balancing on Mercedes,2300
Cost to fix Ceramic Coating on Scorpio,16300
How much for AC Service & Cleaning?,3100
Estimate for Gearbox Repair on Ignis,12350
How much for Ceramic Coating?,14950
Kia Seltos Coolant Top-up,450
XUV700 Disc Turning,1900
How much is Full Car Wash for Innova Crysta?,1000
Standard Checkup cost for Celerio,850
Urgent Disc Turning required for Celerio,850
Price of Horn Repair in Kwid,400
Estimate for General Service on Hyundai i10,3450
Wiper Blades cost for Ciaz,700
Estimate for Full Body Paint on XUV300,34350
Ceramic Coating cost for Jeep Compass,25800
Estimate for Bumper Paint on Venue,3550
Estimate for Scratch Remover on Ciaz,1100
How much is Teflon Coating for Safari?,9850
Urgent Brake Pad Replacement required for Octavia,3850
Price of Coolant Top-up in Celerio,300
Price of Oil Change (Synthetic) in XUV700,6000
Creta Standard Checkup,1150
Cost to fix Oil Change (Synthetic) on Land Rover,12400
How much for Engine Tuning?,1750
How much for Clutch Plate Replacement?,7300
Full Car Wash cost for Jeep Compass,950
Cost to fix Deep Interior Cleaning on Lexus,5300
How much for General Service?,4200
Creta Bumper Paint,3450
How much for Clutch Plate Replacement?,7300
Estimate for Disc Turning on Eon,850
Estimate for Ceramic Coating on Honda City,16100
Cost to fix Battery Replacement on Lexus,19750
Urgent AC Service & Cleaning required for Maruti Alto,2450
Urgent Suspension Overhaul required for Kwid,7900
Price of Gearbox Repair in Porsche,53050
My Harrier needs Ceramic Coating,26800
How much for General Service?,4250
I need a Full Car Wash for my Brezza,650
How much is Spark Plug Replacement for Jaguar?,1750
Cost to fix Horn Repair on Harrier,900
How much for Tyre Replacement (Per Tyre)?,4100
Estimate for AC Gas Refill on Eon,1850
Cost to fix Scratch Remover on Volvo,3750
Jaguar Wiper Blades,2250
Harrier Spark Plug Replacement,900
How much for Scratch Remover?,950
Wiper Blades cost for Verna,700
Estimate for Full Body Paint on Octavia,56950
How much for Bumper Paint?,3050
Cost to fix Clutch Plate Replacement on WagonR,6200
Do you do Horn Repair for Tiguan?,850
Deep Interior Cleaning cost for XUV300,1650
Estimate for Standard Checkup on Thar,1150
Urgent Door Dent Removal required for Tiguan,3150
Do you do Full Body Paint for Hyundai i10?,26250
Estimate for Deep Interior Cleaning on Volvo,5600
Creta Gearbox Repair,16900
Estimate for Ceramic Coating on Kia Seltos,16250
How much for Engine Tuning?,1800
I need a Teflon Coating for my Ciaz,6600
Urgent Brake Pad Replacement required for Jeep Compass,3800
Cost to fix AC Service & Cleaning on WagonR,2400
My XUV700 needs Tyre Replacement (Per Tyre),7950
Nexon Spark Plug Replacement,550
How much for Full Body Paint?,30700
Brezza Full Car Wash,600
Cost to fix Engine Tuning on Kia Seltos,2150
Cost to fix Clutch Plate Replacement on Kwid,6150
Celerio Oil Change (Synthetic),2700
Do you do Oil Change (Mineral) for XUV300?,2000
How much is Brake Pad Replacement for Lexus?,8200
Kia Seltos Horn Repair,550
Urgent Standard Checkup required for Innova Crysta,1850
My Volvo needs Wheel Balancing,2300
Urgent Wheel Balancing required for Porsche,2300
Urgent Headlight Bulb Change required for Safari,1300
How much is Full Car Wash for BMW?,2100
Tata Tiago Teflon Coating,4350
How much for Full Car Wash?,500
How much for Scratch Remover?,1000
AC Service & Cleaning cost for Innova Crysta,5600
Do you do Coolant Top-up for Harrier?,650
Price of Bumper Paint in Lexus,11400
Price of AC Gas Refill in Lexus,8450
Land Rover Standard Checkup,3750
Do you do Headlight Bulb Change for Jaguar?,2700
AC Gas Refill cost for Lexus,8500
Cost to fix Wheel Alignment on Harrier,900
My Honda City needs Suspension Overhaul,11600
How much for Horn Repair?,500
Wiper Blades cost for Safari,1050
Do you do AC Service & Cleaning for Tiguan?,5300
How much is AC Gas Refill for Ignis?,1750
Swift Bumper Paint,2550
My Hyundai i10 needs Horn Repair,400
How much is Engine Tuning for Land Rover?,6950
Jeep Compass Scratch Remover,1750
How much for Door Dent Removal?,1900
Lexus Disc Turning,4150
Urgent Headlight Bulb Change required for Volvo,2650
Jaguar Battery Replacement,20450
How much for Full Body Paint?,31250
How much for Headlight Assembly Replacement?,4400
Do you do Wiper Blades for Porsche?,2150
AC Service & Cleaning cost for Venue,3500
Price of Battery Replacement in Land Rover,19950
I need a General Service for my Kwid,3450
Do you do Coolant Top-up for XUV700?,650
I need a Wheel Balancing for my BMW,2350
Cost to fix Tyre Replacement (Per Tyre) on Jaguar,15800
How much for Wheel Balancing?,650
Cost to fix Bumper Paint on Audi,10700
Cost to fix General Service on Octavia,7400
Price of Wheel Balancing in Toyota Fortuner,1050
Brezza Battery Replacement,6550
Engine Tuning cost for Creta,2150
Do you do AC Gas Refill for BMW?,7850
How much is Scratch Remover for Nexon?,1050
Urgent Wheel Alignment required for Brezza,550
How much is Oil Change (Synthetic) for Audi?,12100
Cost to fix Scratch Remover on Safari,1700
Estimate for Teflon Coating on Toyota Fortuner,9750
Oil Change (Synthetic) cost for WagonR,2750
Urgent Gearbox Repair required for Hyundai i10,12350
AC Gas Refill cost for Thar,2600
Cost to fix Teflon Coating on Audi,20150
Estimate for Ceramic Coating on Toyota Fortuner,25450
Price of Scratch Remover in Toyota Fortuner,1750
How much for Disc Turning?,1100
Do you do Door Dent Removal for Toyota Fortuner?,3300
Price of Ceramic Coating in Tata Tiago,11650
I need a Wheel Balancing for my Land Rover,2300
Urgent Gearbox Repair required for BMW,54950
How much for Suspension Overhaul?,9400
How much for Oil Change (Synthetic)?,3300
How much for Horn Repair?,450
My Volvo needs Tyre Replacement (Per Tyre),16300
I need a Bumper Paint for my BMW,10700
How much for Wheel Balancing?,600
I need a Coolant Top-up for my Tiguan,650
How much for Headlight Bulb Change?,750
Urgent Deep Interior Cleaning required for Safari,2700
Price of Spark Plug Replacement in Thar,550
Estimate for Bumper Paint on Ciaz,3500
Urgent Battery Replacement required for WagonR,4450
How much for Disc Turning?,1050
How much for Gearbox Repair?,15100
Urgent Door Dent Removal required for Kwid,1500
Urgent AC Service & Cleaning required for XUV300,3400
How much is Teflon Coating for Celerio?,4450
Estimate for Brake Pad Replacement on Porsche,8450
I need a Headlight Assembly Replacement for my Venue,4950
Urgent Standard Checkup required for Hyundai i10,800
Price of Clutch Plate Replacement in Mercedes,27350
I need a Deep Interior Cleaning for my Harrier,2550
My Octavia needs Ceramic Coating,27700
Price of Full Car Wash in BMW,2000
Price of Engine Tuning in XUV700,3150
Do you do Bumper Paint for XUV700?,5500
Do you do AC Gas Refill for WagonR?,1700
Wheel Alignment cost for Ignis,400
How much for Oil Change (Mineral)?,1800
How much for Brake Pad Replacement?,2250
Ciaz Brake Pad Replacement,2650
How much is Wheel Alignment for Honda City?,600
Do you do Tyre Replacement (Per Tyre) for Jeep Compass?,7600
Estimate for General Service on Octavia,7450
Urgent Suspension Overhaul required for Ignis,7650
Do you do Coolant Top-up for Verna?,450
How much is Standard Checkup for Scorpio?,1050
How much for Standard Checkup?,950
How much for Spark Plug Replacement?,500
Estimate for Spark Plug Replacement on Porsche,1750
Mercedes Bumper Paint,11750
Venue Disc Turning,1250
My Innova Crysta needs Full Body Paint,54800
Cost to fix General Service on Honda City,4950
My Nexon needs Full Car Wash,650
Toyota Fortuner Battery Replacement,10300
Porsche Engine Tuning,6800
Do you do Battery Replacement for Safari?,9600
I need a Standard Checkup for my Mercedes,3600
Estimate for Standard Checkup on Harrier,1750
How much is General Service for Eon?,3450
My BMW needs Clutch Plate Replacement,26800
Wheel Balancing cost for XUV300,750
How much is Headlight Assembly Replacement for Nexon?,5100
I need a Wheel Alignment for my Venue,550
Urgent Oil Change (Synthetic) required for Santro,2800
Urgent Ceramic Coating required for Honda City,17100
Teflon Coating cost for Verna,6000
How much for Brake Pad Replacement?,2100
Price of Tyre Replacement (Per Tyre) in XUV300,5150
I need a Teflon Coating for my Venue,6050
How much is AC Service & Cleaning for Toyota Fortuner?,5550
Disc Turning cost for Kia Seltos,1200
